# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

sympy.core.exprtools|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.tensor_functions|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.powsimp|ERA_UNKNOWN|DEAD|N/A
.delta|ERA_UNKNOWN|DEAD|N/A
.expr_with_limits|ERA_UNKNOWN|DEAD|N/A
.gosper|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.hyper|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.zeta_functions|ERA_UNKNOWN|DEAD|N/A
sympy.polys.partfrac|ERA_UNKNOWN|DEAD|N/A
sympy.polys.polyerrors|ERA_UNKNOWN|DEAD|N/A
sympy.polys.rationaltools|ERA_UNKNOWN|DEAD|N/A
sympy.series.limitseq|ERA_UNKNOWN|DEAD|N/A
sympy.series.residues|ERA_UNKNOWN|DEAD|N/A
sympy.sets.contains|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.combsimp|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.hyperexpand|ERA_UNKNOWN|DEAD|N/A
sympy.concrete|ERA_UNKNOWN|DEAD|N/A
sympy.concrete.delta|ERA_UNKNOWN|DEAD|N/A
sympy.concrete.gosper|ERA_UNKNOWN|DEAD|N/A
sympy.concrete.guess|ERA_UNKNOWN|DEAD|N/A
sympy.concrete.expr_with_intlimits|ERA_UNKNOWN|DEAD|N/A
sympy.core.facts|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.special|ERA_UNKNOWN|DEAD|N/A
sympy.physics.secondquant|ERA_UNKNOWN|DEAD|N/A
sympy.external.importtools|ERA_UNKNOWN|DEAD|N/A
flint|ERA_UNKNOWN|DEAD|N/A
.sympify|ERA_UNKNOWN|DEAD|N/A
.cache|ERA_UNKNOWN|DEAD|N/A
.singleton|ERA_UNKNOWN|DEAD|N/A
.expr|ERA_UNKNOWN|DEAD|N/A
.symbol|ERA_UNKNOWN|DEAD|N/A
.numbers|ERA_UNKNOWN|DEAD|N/A
.power|ERA_UNKNOWN|DEAD|N/A
.intfunc|ERA_UNKNOWN|DEAD|N/A
.mul|ERA_UNKNOWN|DEAD|N/A
.add|ERA_UNKNOWN|DEAD|N/A
.relational|ERA_UNKNOWN|DEAD|N/A
.multidimensional|ERA_UNKNOWN|DEAD|N/A
.evalf|ERA_UNKNOWN|DEAD|N/A
.exprtools|ERA_UNKNOWN|DEAD|N/A
.parameters|ERA_UNKNOWN|DEAD|N/A
.kind|ERA_UNKNOWN|DEAD|N/A
.traversal|ERA_UNKNOWN|DEAD|N/A
.sorting|ERA_UNKNOWN|DEAD|N/A
sympy.printing.str|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.tensor|ERA_UNKNOWN|DEAD|N/A
sympy.core.assumptions_generated|ERA_UNKNOWN|DEAD|N/A
symengine|ERA_UNKNOWN|DEAD|N/A
symengine.lib.symengine_wrapper|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.immutable|ERA_UNKNOWN|DEAD|N/A
._print_helpers|ERA_UNKNOWN|DEAD|N/A
sage.interfaces.sympy|ERA_UNKNOWN|DEAD|N/A
mpmath.libmp.libmpc|ERA_UNKNOWN|DEAD|N/A
sympy.polys.numberfields|ERA_UNKNOWN|DEAD|N/A
sympy.polys.orderings|ERA_UNKNOWN|DEAD|N/A
sympy.series.gruntz|ERA_UNKNOWN|DEAD|N/A
sympy.series.formal|ERA_UNKNOWN|DEAD|N/A
sympy.series.fourier|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.ratsimp|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.gammasimp|ERA_UNKNOWN|DEAD|N/A
.coreerrors|ERA_UNKNOWN|DEAD|N/A
sympy.polys.polyroots|ERA_UNKNOWN|DEAD|N/A
.rules|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.array_derivatives|ERA_UNKNOWN|DEAD|N/A
sympy.polys.rootoftools|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.multinomial|ERA_UNKNOWN|DEAD|N/A
mpmath.ctx_mp_python|ERA_UNKNOWN|DEAD|N/A
sympy.polys.polyclasses|ERA_UNKNOWN|DEAD|N/A
sympy.polys.densetools|ERA_UNKNOWN|DEAD|N/A
sympy.polys.numberfields.minpoly|ERA_UNKNOWN|DEAD|N/A
sympy.polys.polyutils|ERA_UNKNOWN|DEAD|N/A
``rng`` and access the method directly. For example|ERA_UNKNOWN|DEAD|N/A
to capture the|ERA_UNKNOWN|DEAD|N/A
sympy.tensor|ERA_UNKNOWN|DEAD|N/A
sympy.sandbox.indexed_integrals|ERA_UNKNOWN|DEAD|N/A
sympy.sets.ordinals|ERA_UNKNOWN|DEAD|N/A
sympy.sets.powerset|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.trace|ERA_UNKNOWN|DEAD|N/A
sympy.sets.setexpr|ERA_UNKNOWN|DEAD|N/A
sympy.stats.crv_types|ERA_UNKNOWN|DEAD|N/A
sympy.stats.frv_types|ERA_UNKNOWN|DEAD|N/A
sympy.stats.crv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.drv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.drv_types|ERA_UNKNOWN|DEAD|N/A
sympy.stats.joint_rv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.joint_rv_types|ERA_UNKNOWN|DEAD|N/A
sympy.stats.rv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.compound_rv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.symbolic_probability|ERA_UNKNOWN|DEAD|N/A
sympy.stats|ERA_UNKNOWN|DEAD|N/A
sympy.stats.frv|ERA_UNKNOWN|DEAD|N/A
sympy.stats.stochastic_process_types|ERA_UNKNOWN|DEAD|N/A
sympy.stats.random_matrix|ERA_UNKNOWN|DEAD|N/A
sympy.stats.stochastic_process|ERA_UNKNOWN|DEAD|N/A
sympy.stats.random_matrix_models|ERA_UNKNOWN|DEAD|N/A
sympy.stats.matrix_distributions|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.matchpy_connector|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.elliptic_integrals|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.delta_functions|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.singularity_functions|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.beta_functions|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.mathieu_functions|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.polynomials|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.spherical_harmonics|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.risch|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.laplace|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.cartan_type|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.weyl_group|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.root_system|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_a|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_b|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_c|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_d|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_e|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_f|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.type_g|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.slice|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.applyfunc|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.inverse|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.matadd|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.sets|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.matmul|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.dotproduct|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.kronecker|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.matpow|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.transpose|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.adjoint|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.trace|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.determinant|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.funcmatrix|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.permutation|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions.companion|ERA_UNKNOWN|DEAD|N/A
sympy.physics.vector|ERA_UNKNOWN|DEAD|N/A
sympy.physics.biomechanics|ERA_UNKNOWN|DEAD|N/A
sympy.physics.paulialgebra|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.anticommutator|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.cartesian|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.cg|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.circuitplot|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.commutator|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.constants|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.dagger|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.state|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.gate|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.grover|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.hilbert|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.operator|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.piab|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.boson|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.fermion|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.pauli|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.qexpr|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.qft|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.qubit|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.density|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.shor|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.spin|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.tensorproduct|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.identitysearch|ERA_UNKNOWN|DEAD|N/A
sympy.physics.quantum.sho1d|ERA_UNKNOWN|DEAD|N/A
sympy.physics.control.lti|ERA_UNKNOWN|DEAD|N/A
sympy.physics.control|ERA_UNKNOWN|DEAD|N/A
sympy.physics.units.dimensions|ERA_UNKNOWN|DEAD|N/A
sympy.physics.units.definitions.dimension_definitions|ERA_UNKNOWN|DEAD|N/A
sympy.physics.units.quantities|ERA_UNKNOWN|DEAD|N/A
sympy.physics.units.prefixes|ERA_UNKNOWN|DEAD|N/A
sympy.series|ERA_UNKNOWN|DEAD|N/A
sympy.series.sequences|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.dense_ndim_array|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.sparse_ndim_array|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.array_comprehension|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.expressions.array_expressions|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.functions|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.toperators|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.curve|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.point|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.ellipse|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.parabola|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.line|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.plane|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.polygon|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.entity|ERA_UNKNOWN|DEAD|N/A
sympy.diffgeom|ERA_UNKNOWN|DEAD|N/A
sympy.physics.optics|ERA_UNKNOWN|DEAD|N/A
sympy.physics.optics.medium|ERA_UNKNOWN|DEAD|N/A
sympy.printing.rust|ERA_UNKNOWN|DEAD|N/A
sympy.vector.coordsysrect|ERA_UNKNOWN|DEAD|N/A
sympy.vector.point|ERA_UNKNOWN|DEAD|N/A
sympy.vector.vector|ERA_UNKNOWN|DEAD|N/A
sympy.vector.dyadic|ERA_UNKNOWN|DEAD|N/A
sympy.vector.deloperator|ERA_UNKNOWN|DEAD|N/A
sympy.vector.implicitregion|ERA_UNKNOWN|DEAD|N/A
sympy.vector.integrals|ERA_UNKNOWN|DEAD|N/A
sympy.vector.parametricregion|ERA_UNKNOWN|DEAD|N/A
sympy.vector.operators|ERA_UNKNOWN|DEAD|N/A
sympy.vector.orienters|ERA_UNKNOWN|DEAD|N/A
sympy.vector.scalar|ERA_UNKNOWN|DEAD|N/A
sympy.physics.wigner|ERA_UNKNOWN|DEAD|N/A
sympy.core.compatibility # noqa:F401|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.ndim_array|ERA_UNKNOWN|DEAD|N/A
sympy.core.evalf|ERA_UNKNOWN|DEAD|N/A
sympy.polys.specialpolys|ERA_UNKNOWN|DEAD|N/A
sympy.physics.units|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.cse_opts|ERA_UNKNOWN|DEAD|N/A
sympy.core.multidimensional|ERA_UNKNOWN|DEAD|N/A
sympy.polys.domains.realfield|ERA_UNKNOWN|DEAD|N/A
sympy.polys.domains.groundtypes|ERA_UNKNOWN|DEAD|N/A
sympy.core.tests.test_relational|ERA_UNKNOWN|DEAD|N/A
sympy.core.operations|ERA_UNKNOWN|DEAD|N/A
sympy.core.tests.test_evalf|ERA_UNKNOWN|DEAD|N/A
sympy.core.decorators|ERA_UNKNOWN|DEAD|N/A
sympy.core.rules|ERA_UNKNOWN|DEAD|N/A
sympy.physics.mechanics|ERA_UNKNOWN|DEAD|N/A
sympy.geometry|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.traversaltools|ERA_UNKNOWN|DEAD|N/A
sympy.crypto.crypto|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.modular|ERA_UNKNOWN|DEAD|N/A
sympy.polys.domains|ERA_UNKNOWN|DEAD|N/A
.diffgeom|ERA_UNKNOWN|DEAD|N/A
sympy.solvers|ERA_UNKNOWN|DEAD|N/A
sympy.diffgeom.rn|ERA_UNKNOWN|DEAD|N/A
.convolutions|ERA_UNKNOWN|DEAD|N/A
sympy.discrete.transforms|ERA_UNKNOWN|DEAD|N/A
sympy.discrete.convolutions|ERA_UNKNOWN|DEAD|N/A
sympy.discrete.recurrences|ERA_UNKNOWN|DEAD|N/A
sympy.discrete|ERA_UNKNOWN|DEAD|N/A
.pythonmpq|ERA_UNKNOWN|DEAD|N/A
sympy.external.pythonmpq|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.autowrap|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.codegen|ERA_UNKNOWN|DEAD|N/A
sympy.external.ntheory|ERA_UNKNOWN|DEAD|N/A
sympy.functions.special.bsplines|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.partitions_|ERA_UNKNOWN|DEAD|N/A
sympy.polys.appellseqs|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.enumerative|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.memoization|ERA_UNKNOWN|DEAD|N/A
sympy.printing.pretty.stringpict|ERA_UNKNOWN|DEAD|N/A
sympy.calculus|ERA_UNKNOWN|DEAD|N/A
sympy.integrals|ERA_UNKNOWN|DEAD|N/A
sympy.series.series|ERA_UNKNOWN|DEAD|N/A
sympy.functions.elementary._trigonometric_special|ERA_UNKNOWN|DEAD|N/A
sympy.polys.orthopolys|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.util|ERA_UNKNOWN|DEAD|N/A
sympy.geometry.exceptions|ERA_UNKNOWN|DEAD|N/A
.line|ERA_UNKNOWN|DEAD|N/A
.point|ERA_UNKNOWN|DEAD|N/A
.polygon|ERA_UNKNOWN|DEAD|N/A
sympy.sets.handlers.intersection|ERA_UNKNOWN|DEAD|N/A
sympy.sets.handlers.union|ERA_UNKNOWN|DEAD|N/A
.plane|ERA_UNKNOWN|DEAD|N/A
.ellipse|ERA_UNKNOWN|DEAD|N/A
.holonomic|ERA_UNKNOWN|DEAD|N/A
.recurrence|ERA_UNKNOWN|DEAD|N/A
sympy.polys.rings|ERA_UNKNOWN|DEAD|N/A
sympy.polys.fields|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices|ERA_UNKNOWN|DEAD|N/A
.holonomicerrors|ERA_UNKNOWN|DEAD|N/A
sympy.holonomic.numerical|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.meijerint|ERA_UNKNOWN|DEAD|N/A
sympy.holonomic.holonomic|ERA_UNKNOWN|DEAD|N/A
sympy.holonomic|ERA_UNKNOWN|DEAD|N/A
sympy.holonomic.recurrence|ERA_UNKNOWN|DEAD|N/A
sympy.polys.domains.integerring|ERA_UNKNOWN|DEAD|N/A
sympy.polys.domains.rationalfield|ERA_UNKNOWN|DEAD|N/A
.singularityfunctions|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.trigonometry|ERA_UNKNOWN|DEAD|N/A
sympy.polys.monomials|ERA_UNKNOWN|DEAD|N/A
sympy.polys.solvers|ERA_UNKNOWN|DEAD|N/A
sympy.polys.constructor|ERA_UNKNOWN|DEAD|N/A
.rationaltools|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.manualintegrate|ERA_UNKNOWN|DEAD|N/A
sympy.simplify.fu|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.heurisch|ERA_UNKNOWN|DEAD|N/A
.deltafunctions|ERA_UNKNOWN|DEAD|N/A
.meijerint|ERA_UNKNOWN|DEAD|N/A
.trigonometry|ERA_UNKNOWN|DEAD|N/A
sympy.plotting.plot|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.linsolve|ERA_UNKNOWN|DEAD|N/A
sympy.strategies.core|ERA_UNKNOWN|DEAD|N/A
sympy.utilities.timeutils|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.rde|ERA_UNKNOWN|DEAD|N/A
sympy.polys.polymatrix|ERA_UNKNOWN|DEAD|N/A
.prde|ERA_UNKNOWN|DEAD|N/A
.heurisch|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.deltafunctions|ERA_UNKNOWN|DEAD|N/A
sympy.physics|ERA_UNKNOWN|DEAD|N/A
sympy.vector|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.intpoly|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.prde|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.quadrature|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.rationaltools|ERA_UNKNOWN|DEAD|N/A
sympy.integrals.singularityfunctions|ERA_UNKNOWN|DEAD|N/A
.session|ERA_UNKNOWN|DEAD|N/A
sympy.printing.preview|ERA_UNKNOWN|DEAD|N/A
IPython.lib.latextools|ERA_UNKNOWN|DEAD|N/A
IPython.iplib|ERA_UNKNOWN|DEAD|N/A
IPython.terminal.interactiveshell|ERA_UNKNOWN|DEAD|N/A
sympy.interactive.printing|ERA_UNKNOWN|DEAD|N/A
IPython.terminal|ERA_UNKNOWN|DEAD|N/A
IPython.frontend.terminal|ERA_UNKNOWN|DEAD|N/A
IPython.Shell|ERA_UNKNOWN|DEAD|N/A
.cartan_type|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.cartan_matrix|ERA_UNKNOWN|DEAD|N/A
sympy.liealgebras.dynkin_diagram|ERA_UNKNOWN|DEAD|N/A
sympy.core.backend|ERA_UNKNOWN|DEAD|N/A
.boolalg|ERA_UNKNOWN|DEAD|N/A
.inference|ERA_UNKNOWN|DEAD|N/A
pysat.solvers|ERA_UNKNOWN|DEAD|N/A
pycosat|ERA_UNKNOWN|DEAD|N/A
sympy.printing.smtlib|ERA_UNKNOWN|DEAD|N/A
sympy.assumptions.relation.equality|ERA_UNKNOWN|DEAD|N/A
sympy.logic.algorithms.dpll|ERA_UNKNOWN|DEAD|N/A
sympy.logic.algorithms.dpll2|ERA_UNKNOWN|DEAD|N/A
sympy.logic.algorithms.pycosat_wrapper|ERA_UNKNOWN|DEAD|N/A
sympy.logic.algorithms.minisat22_wrapper|ERA_UNKNOWN|DEAD|N/A
sympy.logic.algorithms.z3_wrapper|ERA_UNKNOWN|DEAD|N/A
sympy.logic.utilities.dimacs|ERA_UNKNOWN|DEAD|N/A
sympy.logic.tests.test_lra_theory|ERA_UNKNOWN|DEAD|N/A
.dimacs|ERA_UNKNOWN|DEAD|N/A
.dense|ERA_UNKNOWN|DEAD|N/A
.matrixbase|ERA_UNKNOWN|DEAD|N/A
.sparse|ERA_UNKNOWN|DEAD|N/A
.sparsetools|ERA_UNKNOWN|DEAD|N/A
.immutable|ERA_UNKNOWN|DEAD|N/A
.expressions|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.matrices|ERA_UNKNOWN|DEAD|N/A
.determinant|ERA_UNKNOWN|DEAD|N/A
.decompositions|ERA_UNKNOWN|DEAD|N/A
.repmatrix|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.domainmatrix|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.ddm|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.eigen|ERA_UNKNOWN|DEAD|N/A
.slice|ERA_UNKNOWN|DEAD|N/A
.blockmatrix|ERA_UNKNOWN|DEAD|N/A
.companion|ERA_UNKNOWN|DEAD|N/A
.funcmatrix|ERA_UNKNOWN|DEAD|N/A
.inverse|ERA_UNKNOWN|DEAD|N/A
.matadd|ERA_UNKNOWN|DEAD|N/A
.matexpr|ERA_UNKNOWN|DEAD|N/A
.matmul|ERA_UNKNOWN|DEAD|N/A
.matpow|ERA_UNKNOWN|DEAD|N/A
.trace|ERA_UNKNOWN|DEAD|N/A
.transpose|ERA_UNKNOWN|DEAD|N/A
.adjoint|ERA_UNKNOWN|DEAD|N/A
.hadamard|ERA_UNKNOWN|DEAD|N/A
.diagonal|ERA_UNKNOWN|DEAD|N/A
.dotproduct|ERA_UNKNOWN|DEAD|N/A
.kronecker|ERA_UNKNOWN|DEAD|N/A
.permutation|ERA_UNKNOWN|DEAD|N/A
.special|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.exceptions|ERA_UNKNOWN|DEAD|N/A
sympy.strategies|ERA_UNKNOWN|DEAD|N/A
sympy.strategies.traverse|ERA_UNKNOWN|DEAD|N/A
sympy.strategies.util|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.expressions._shape|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.expressions.from_indexed_to_array|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.expressions.from_array_to_matrix|ERA_UNKNOWN|DEAD|N/A
.applyfunc|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.expressions.from_matrix_to_array|ERA_UNKNOWN|DEAD|N/A
sympy.tensor.array.expressions.arrayexpr_derivatives|ERA_UNKNOWN|DEAD|N/A
...tensor.array.expressions.array_expressions|ERA_UNKNOWN|DEAD|N/A
mpmath.matrices.matrices|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.repmatrix|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.sparse|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.exceptions|ERA_UNKNOWN|DEAD|N/A
.reductions|ERA_UNKNOWN|DEAD|N/A
.subspaces|ERA_UNKNOWN|DEAD|N/A
sympy.physics.matrices|ERA_UNKNOWN|DEAD|N/A
sympy.polys.matrices.normalforms|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.common|ERA_UNKNOWN|DEAD|N/A
sympy.testing.matrices|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.eigen|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.determinant|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.utilities|ERA_UNKNOWN|DEAD|N/A
sympy.algebras|ERA_UNKNOWN|DEAD|N/A
sympy.matrices.sparsetools|ERA_UNKNOWN|DEAD|N/A
sympy.multipledispatch.conflict|ERA_UNKNOWN|DEAD|N/A
.generate|ERA_UNKNOWN|DEAD|N/A
.primetest|ERA_UNKNOWN|DEAD|N/A
.factor_|ERA_UNKNOWN|DEAD|N/A
.partitions_|ERA_UNKNOWN|DEAD|N/A
.residue_ntheory|ERA_UNKNOWN|DEAD|N/A
.multinomial|ERA_UNKNOWN|DEAD|N/A
.continued_fraction|ERA_UNKNOWN|DEAD|N/A
.digits|ERA_UNKNOWN|DEAD|N/A
.egyptian_fraction|ERA_UNKNOWN|DEAD|N/A
.ecm|ERA_UNKNOWN|DEAD|N/A
.qs|ERA_UNKNOWN|DEAD|N/A
sympy.polys.galoistools|ERA_UNKNOWN|DEAD|N/A
.modular|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.bbp_pi|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.continued_fraction|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.ecm|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.egyptian_fraction|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.elliptic_curve|ERA_UNKNOWN|DEAD|N/A
sympy.ntheory.qs|ERA_UNKNOWN|DEAD|N/A
.sympy_parser|ERA_UNKNOWN|DEAD|N/A
pydy.system|ERA_UNKNOWN|DEAD|N/A
antlr4|ERA_UNKNOWN|DEAD|N/A
typing.io|ERA_UNKNOWN|DEAD|N/A
.autolevparser|ERA_UNKNOWN|DEAD|N/A
autolevparser|ERA_UNKNOWN|DEAD|N/A
antlr4.error.Errors|ERA_UNKNOWN|DEAD|N/A
._listener_autolev_antlr|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.latex.lark|ERA_UNKNOWN|DEAD|N/A
.latex_parser|ERA_UNKNOWN|DEAD|N/A
.transformer|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.latex.lark.transformer|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.latex.errors|ERA_UNKNOWN|DEAD|N/A
lark|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.fortran.fortran_parser|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.c.c_parser|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.ast_parser|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.autolev|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.sym_expr|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.latex._build_latex_antlr|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.latex|ERA_UNKNOWN|DEAD|N/A
.test_latex|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.mathematica|ERA_UNKNOWN|DEAD|N/A
sympy.parsing.maxima|ERA_UNKNOWN|DEAD|N/A
.activation|ERA_UNKNOWN|DEAD|N/A
.curve|ERA_UNKNOWN|DEAD|N/A
.musculotendon|ERA_UNKNOWN|DEAD|N/A
sympy.physics.biomechanics._mixin|ERA_UNKNOWN|DEAD|N/A
sympy.printing.precedence|ERA_UNKNOWN|DEAD|N/A
sympy.physics.biomechanics.activation|ERA_UNKNOWN|DEAD|N/A
sympy.physics.biomechanics.curve|ERA_UNKNOWN|DEAD|N/A
sympy.physics.mechanics.actuator|ERA_UNKNOWN|DEAD|N/A
