# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

._odrpack|DEAD|NO_FILE
scipy.odr._odrpack|DEAD|NO_FILE
._optimize|DEAD|NO_FILE
._minimize|DEAD|NO_FILE
._root|DEAD|NO_FILE
._root_scalar|DEAD|NO_FILE
._minpack_py|DEAD|NO_FILE
._zeros_py|DEAD|NO_FILE
._lbfgsb_py|DEAD|NO_FILE
._tnc|DEAD|NO_FILE
._cobyla_py|DEAD|NO_FILE
._nonlin|DEAD|NO_FILE
._slsqp_py|DEAD|NO_FILE
._nnls|DEAD|NO_FILE
._basinhopping|DEAD|NO_FILE
._linprog|DEAD|NO_FILE
._lsap|DEAD|NO_FILE
._differentialevolution|DEAD|NO_FILE
._lsq|DEAD|NO_FILE
._isotonic|DEAD|NO_FILE
._constraints|DEAD|NO_FILE
._hessian_update_strategy|DEAD|NO_FILE
._shgo|DEAD|NO_FILE
._dual_annealing|DEAD|NO_FILE
._qap|DEAD|NO_FILE
._direct_py|DEAD|NO_FILE
._milp|DEAD|NO_FILE
.._lib.pyprima|DEAD|NO_FILE
.._lib.pyprima.common.infos|DEAD|NO_FILE
.._lib.pyprima.common.message|DEAD|NO_FILE
._differentiable_functions|DEAD|NO_FILE
._numdiff|DEAD|NO_FILE
scipy.optimize._optimize|DEAD|NO_FILE
._direct|DEAD|NO_FILE
scipy.optimize._bracket|DEAD|NO_FILE
scipy.optimize._chandrupatla|DEAD|NO_FILE
scipy.optimize._highspy._core|DEAD|NO_FILE
scipy.optimize._highspy|DEAD|NO_FILE
._pava_pybind|DEAD|NO_FILE
._dcsrch|DEAD|NO_FILE
._linprog_highs|DEAD|NO_FILE
._linprog_ip|DEAD|NO_FILE
._linprog_simplex|DEAD|NO_FILE
._linprog_rs|DEAD|NO_FILE
._linprog_doc|DEAD|NO_FILE
._linprog_util|DEAD|NO_FILE
._highspy._highs_wrapper|DEAD|NO_FILE
sksparse  # noqa: F401|DEAD|NO_FILE
scikits.umfpack  # test whether to use factorized  # noqa: F401|DEAD|NO_FILE
._bglu_dense|DEAD|NO_FILE
scipy.optimize._remove_redundancy|DEAD|NO_FILE
.least_squares|DEAD|NO_FILE
.lsq_linear|DEAD|NO_FILE
scipy.optimize._differentiable_functions|DEAD|NO_FILE
scipy.optimize._minimize|DEAD|NO_FILE
.trf|DEAD|NO_FILE
.dogbox|DEAD|NO_FILE
.trf_linear|DEAD|NO_FILE
.bvls|DEAD|NO_FILE
.givens_elimination|DEAD|NO_FILE
._trustregion_dogleg|DEAD|NO_FILE
._trustregion_ncg|DEAD|NO_FILE
._trustregion_krylov|DEAD|NO_FILE
._trustregion_exact|DEAD|NO_FILE
._trustregion_constr|DEAD|NO_FILE
._cobyqa_py|DEAD|NO_FILE
._lsq.least_squares|DEAD|NO_FILE
._slsqplib|DEAD|NO_FILE
._linesearch|DEAD|NO_FILE
..sparse|DEAD|NO_FILE
._group_columns|DEAD|NO_FILE
._spectral|DEAD|NO_FILE
scipy.optimize._shgo_lib._complex|DEAD|NO_FILE
._vertex|DEAD|NO_FILE
._trlib|DEAD|NO_FILE
scipy.optimize._hessian_update_strategy|DEAD|NO_FILE
.minimize_trustregion_constr|DEAD|NO_FILE
.projections|DEAD|NO_FILE
.qp_subproblem|DEAD|NO_FILE
.._differentiable_functions|DEAD|NO_FILE
.._constraints|DEAD|NO_FILE
.._hessian_update_strategy|DEAD|NO_FILE
.._optimize|DEAD|NO_FILE
.equality_constrained_sqp|DEAD|NO_FILE
.canonical_constraint|DEAD|NO_FILE
.tr_interior_point|DEAD|NO_FILE
.report|DEAD|NO_FILE
CanonicalConstraint|DEAD|NO_FILE
initial_constraints_as_canonical|DEAD|NO_FILE
projections|DEAD|NO_FILE
orthogonality|DEAD|NO_FILE
(eqp_kktfact|DEAD|NO_FILE
|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/__init__.py
._trustregion|DEAD|NO_FILE
myexample|DEAD|NO_FILE
._elementwise|DEAD|NO_FILE
scipy.optimize._basinhopping|DEAD|NO_FILE
scipy.optimize._differentialevolution|DEAD|NO_FILE
scipy.optimize._dual_annealing|DEAD|NO_FILE
scipy.optimize._linprog_util|DEAD|NO_FILE
.test_linprog|DEAD|NO_FILE
scipy.optimize._shgo|DEAD|NO_FILE
scipy.optimize.tests.test_minimize_constrained|DEAD|NO_FILE
scipy.optimize.elementwise|DEAD|NO_FILE
scipy.optimize._tstutils|DEAD|NO_FILE
.test_minimize_constrained|DEAD|NO_FILE
scipy.optimize.cython_optimize|DEAD|NO_FILE
scipy.optimize._pava_pybind|DEAD|NO_FILE
scipy.optimize._lsq.least_squares|DEAD|NO_FILE
scipy.optimize._lsq.common|DEAD|NO_FILE
scipy.sparse.csgraph.tests.test_matching|DEAD|NO_FILE
scipy.optimize._linesearch|DEAD|NO_FILE
scikits.umfpack|DEAD|NO_FILE
scipy.optimize._linprog_highs|DEAD|NO_FILE
scipy.optimize._minpack_py|DEAD|NO_FILE
.test_minpack|DEAD|NO_FILE
scipy.optimize._linprog|DEAD|NO_FILE
scipy.optimize._root|DEAD|NO_FILE
scipy.optimize._root_scalar|DEAD|NO_FILE
scipy.optimize._qap|DEAD|NO_FILE
scipy.optimize._trustregion_exact|DEAD|NO_FILE
scipy.optimize._trlib|DEAD|NO_FILE
scipy.signal._arraytools|DEAD|NO_FILE
.windows|DEAD|NO_FILE
._filter_design|DEAD|NO_FILE
._lti_conversion|DEAD|NO_FILE
._max_len_seq_inner|DEAD|NO_FILE
scipy.signal._wavelets|DEAD|NO_FILE
._peak_finding_utils|DEAD|NO_FILE
._arraytools|DEAD|NO_FILE
._waveforms|DEAD|NO_FILE
._max_len_seq|DEAD|NO_FILE
._upfirdn|DEAD|NO_FILE
._spline|DEAD|NO_FILE
._spline_filters|DEAD|NO_FILE
._fir_filter_design|DEAD|NO_FILE
._ltisys|DEAD|NO_FILE
._signaltools|DEAD|NO_FILE
._savitzky_golay|DEAD|NO_FILE
._spectral_py|DEAD|NO_FILE
._short_time_fft|DEAD|NO_FILE
._peak_finding|DEAD|NO_FILE
._czt|DEAD|NO_FILE
._sosfilt|DEAD|NO_FILE
._signal_api|DEAD|NO_FILE
._upfirdn_apply|DEAD|NO_FILE
._scipy_spectral_test_shim|DEAD|NO_FILE
scipy.signal._short_time_fft|DEAD|NO_FILE
scipy.signal._spectral_py|DEAD|NO_FILE
scipy.signal._filter_design|DEAD|NO_FILE
scipy.signal._polyutils|DEAD|NO_FILE
scipy.signal._peak_finding|DEAD|NO_FILE
scipy.signal._peak_finding_utils|DEAD|NO_FILE
scipy.signal._savitzky_golay|DEAD|NO_FILE
scipy.signal._upfirdn|DEAD|NO_FILE
scipy.signal.tests._scipy_spectral_test_shim|DEAD|NO_FILE
scipy.signal._spline|DEAD|NO_FILE
scipy.signal._upfirdn_apply|DEAD|NO_FILE
scipy.signal._waveforms|DEAD|NO_FILE
scipy.signal.windows._windows|DEAD|NO_FILE
._csr|DEAD|NO_FILE
._csc|DEAD|NO_FILE
._lil|DEAD|NO_FILE
._dok|DEAD|NO_FILE
._coo|DEAD|NO_FILE
._dia|DEAD|NO_FILE
._bsr|DEAD|NO_FILE
._construct|DEAD|NO_FILE
._extract|DEAD|NO_FILE
._matrix|DEAD|NO_FILE
._matrix_io|DEAD|NO_FILE
._sputils|DEAD|NO_FILE
._data|DEAD|NO_FILE
._compressed|DEAD|NO_FILE
._sparsetools|DEAD|NO_FILE
._index|DEAD|NO_FILE
.._lib._util|DEAD|NO_FILE
._spfuncs|DEAD|NO_FILE
._laplacian|DEAD|NO_FILE
._shortest_path|DEAD|NO_FILE
._traversal|DEAD|NO_FILE
._min_spanning_tree|DEAD|NO_FILE
._flow|DEAD|NO_FILE
._matching|DEAD|NO_FILE
._reordering|DEAD|NO_FILE
scipy.sparse.csgraph._tools|DEAD|NO_FILE
scipy.sparse.csgraph._flow|DEAD|NO_FILE
.._laplacian|DEAD|NO_FILE
.._min_spanning_tree|DEAD|NO_FILE
._isolve|DEAD|NO_FILE
._dsolve|DEAD|NO_FILE
._interface|DEAD|NO_FILE
._eigen|DEAD|NO_FILE
._onenormest|DEAD|NO_FILE
._norm|DEAD|NO_FILE
._expm_multiply|DEAD|NO_FILE
._funm_multiply_krylov|DEAD|NO_FILE
._special_sparse_arrays|DEAD|NO_FILE
.linsolve|DEAD|NO_FILE
._superlu|DEAD|NO_FILE
scipy.sparse.linalg._dsolve|DEAD|NO_FILE
.arpack|DEAD|NO_FILE
.lobpcg|DEAD|NO_FILE
._svds|DEAD|NO_FILE
scipy.sparse.linalg._eigen.lobpcg|DEAD|NO_FILE
scipy.sparse.linalg._svdp|DEAD|NO_FILE
scipy.sparse.linalg._eigen.arpack|DEAD|NO_FILE
scipy.sparse.linalg._eigen.lobpcg.lobpcg|DEAD|NO_FILE
scipy.sparse.linalg._special_sparse_arrays|DEAD|NO_FILE
scipy.linalg._decomp_qr|DEAD|NO_FILE
scipy.sparse.linalg._onenormest|DEAD|NO_FILE
._isolve.iterative|DEAD|NO_FILE
.iterative|DEAD|NO_FILE
.minres|DEAD|NO_FILE
.lgmres|DEAD|NO_FILE
.lsqr|DEAD|NO_FILE
.lsmr|DEAD|NO_FILE
._gcrotmk|DEAD|NO_FILE
.tfqmr|DEAD|NO_FILE
scipy.sparse.linalg._isolve.utils|DEAD|NO_FILE
scipy.sparse.linalg._isolve.lsqr|DEAD|NO_FILE
scipy.sparse.linalg._isolve|DEAD|NO_FILE
.test_lsqr|DEAD|NO_FILE
scipy.sparse._base|DEAD|NO_FILE
scipy.sparse._construct|DEAD|NO_FILE
scipy.sparse.linalg._expm_multiply|DEAD|NO_FILE
scipy.sparse.linalg._funm_multiply_krylov|DEAD|NO_FILE
scipy.sparse.linalg._matfuncs|DEAD|NO_FILE
.test_base|DEAD|NO_FILE
scipy.sparse._csr|DEAD|NO_FILE
.._coo|DEAD|NO_FILE
.test_arithmetic1d|DEAD|NO_FILE
scipy.sparse._sparsetools|DEAD|NO_FILE
._kdtree|DEAD|NO_FILE
._ckdtree|DEAD|NO_FILE
._qhull|DEAD|NO_FILE
._spherical_voronoi|DEAD|NO_FILE
._plotutils|DEAD|NO_FILE
._geometric_slerp|DEAD|NO_FILE
scipy.spatial._ckdtree|DEAD|NO_FILE
._rotation|DEAD|NO_FILE
._rigid_transform|DEAD|NO_FILE
._rotation_spline|DEAD|NO_FILE
scipy.spatial.transform|DEAD|NO_FILE
scipy.spatial.transform._rotation|DEAD|NO_FILE
scipy.spatial.transform._rigid_transform_cy|DEAD|NO_FILE
scipy.spatial.transform._rigid_transform_xp|DEAD|NO_FILE
scipy.spatial.transform._rotation_xp|DEAD|NO_FILE
scipy.spatial.transform._rotation_cy|DEAD|NO_FILE
scipy.spatial.transform._rotation_groups|DEAD|NO_FILE
scipy.spatial.transform._rigid_transform|DEAD|NO_FILE
scipy.spatial.transform._rotation_spline|DEAD|NO_FILE
._sf_error|DEAD|NO_FILE
._ufuncs|DEAD|NO_FILE
._logsumexp|DEAD|NO_FILE
._multiufuncs|DEAD|NO_FILE
._orthogonal|DEAD|NO_FILE
._ellip_harm|DEAD|NO_FILE
._lambertw|DEAD|NO_FILE
._spherical_bessel|DEAD|NO_FILE
._gufuncs|DEAD|NO_FILE
._input_validation|DEAD|NO_FILE
._comb|DEAD|NO_FILE
._ellip_harm_2|DEAD|NO_FILE
scipy.special._testutils|DEAD|NO_FILE
._special_ufuncs|DEAD|NO_FILE
scipy.special._precompute.utils|DEAD|NO_FILE
scipy.special._mptestutils|DEAD|NO_FILE
scipy.special.tests.test_hyp2f1|DEAD|NO_FILE
sympy.abc|DEAD|NO_FILE
sympy.polys.polyfuncs|DEAD|NO_FILE
scipy.special._basic|DEAD|NO_FILE
scipy.special._test_internal|DEAD|NO_FILE
scipy.special._logsumexp|DEAD|NO_FILE
scipy.special._orthogonal|DEAD|NO_FILE
scipy.special._precompute.expn_asy|DEAD|NO_FILE
scipy.special._precompute.gammainc_asy|DEAD|NO_FILE
scipy.special._precompute.gammainc_data|DEAD|NO_FILE
scipy.special._support_alternative_backends|DEAD|NO_FILE
scipy.special._gufuncs|DEAD|NO_FILE
._warnings_errors|DEAD|NO_FILE
._stats_py|DEAD|NO_FILE
._variation|DEAD|NO_FILE
.distributions|DEAD|NO_FILE
._morestats|DEAD|NO_FILE
._multicomp|DEAD|NO_FILE
._binomtest|DEAD|NO_FILE
._binned_statistic|DEAD|NO_FILE
._kde|DEAD|NO_FILE
._multivariate|DEAD|NO_FILE
.contingency|DEAD|NO_FILE
._censored_data|DEAD|NO_FILE
._resampling|DEAD|NO_FILE
._entropy|DEAD|NO_FILE
._hypotests|DEAD|NO_FILE
._page_trend_test|DEAD|NO_FILE
._mannwhitneyu|DEAD|NO_FILE
._bws_test|DEAD|NO_FILE
._fit|DEAD|NO_FILE
._covariance|DEAD|NO_FILE
._sensitivity_analysis|DEAD|NO_FILE
._survival|DEAD|NO_FILE
._distribution_infrastructure|DEAD|NO_FILE
._new_distributions|DEAD|NO_FILE
._mgc|DEAD|NO_FILE
._correlation|DEAD|NO_FILE
._quantile|DEAD|NO_FILE
._discrete_distns|DEAD|NO_FILE
scipy._lib.doccer|DEAD|NO_FILE
._tukeylambda_stats|DEAD|NO_FILE
._distn_infrastructure|DEAD|NO_FILE
._ksstats|DEAD|NO_FILE
scipy.stats._warnings_errors|DEAD|NO_FILE
scipy.stats._stats_py|DEAD|NO_FILE
scipy.stats._axis_nan_policy|DEAD|NO_FILE
._biasedurn|DEAD|NO_FILE
._stats_pythran|DEAD|NO_FILE
._distr_params|DEAD|NO_FILE
scipy.stats._finite_differences|DEAD|NO_FILE
scipy.stats._probability_distribution|DEAD|NO_FILE
E402|DEAD|NO_FILE
._axis_nan_policy|DEAD|NO_FILE
matplotlib  # noqa: F401|DEAD|NO_FILE
._continuous_distns|DEAD|NO_FILE
._stats|DEAD|NO_FILE
.._distn_infrastructure|DEAD|NO_FILE
.._continuous_distns|DEAD|NO_FILE
.levyst|DEAD|NO_FILE
._ansari_swilk_statistics|DEAD|NO_FILE
._stats_mstats_common|DEAD|NO_FILE
scipy.stats.distributions|DEAD|NO_FILE
scipy.stats._common|DEAD|NO_FILE
scipy.stats._qmc|DEAD|NO_FILE
._qmvnt|DEAD|NO_FILE
scipy.stats._distribution_infrastructure|DEAD|NO_FILE
._sobol|DEAD|NO_FILE
._qmc_cy|DEAD|NO_FILE
scipy.stats._stats_pythran|DEAD|NO_FILE
._qmvnt_cy|DEAD|NO_FILE
.rcont|DEAD|NO_FILE
._odds_ratio|DEAD|NO_FILE
._relative_risk|DEAD|NO_FILE
._qmc|DEAD|NO_FILE
._unuran.unuran_wrapper|DEAD|NO_FILE
scipy.stats._resampling|DEAD|NO_FILE
.._lib._array_api|DEAD|NO_FILE
.._lib._bunch|DEAD|NO_FILE
scipy.stats._censored_data|DEAD|NO_FILE
._crosstab|DEAD|NO_FILE
._levy_stable|DEAD|NO_FILE
._mstats_basic|DEAD|NO_FILE
._mstats_extras|DEAD|NO_FILE
._sampling|DEAD|NO_FILE
.common_tests|DEAD|NO_FILE
scipy.stats.contingency|DEAD|NO_FILE
scipy.stats._continued_fraction|DEAD|NO_FILE
scipy.stats._fit|DEAD|NO_FILE
scipy.stats._ksstats|DEAD|NO_FILE
scipy.stats._distr_params|DEAD|NO_FILE
scipy.stats._new_distributions|DEAD|NO_FILE
scipy.stats._distn_infrastructure|DEAD|NO_FILE
scipy.stats._constants|DEAD|NO_FILE
.test_discrete_basic|DEAD|NO_FILE
scipy.stats._continuous_distns|DEAD|NO_FILE
scipy.stats.sampling|DEAD|NO_FILE
.test_continuous_basic|DEAD|NO_FILE
scipy.stats._hypotests|DEAD|NO_FILE
scipy.stats._mannwhitneyu|DEAD|NO_FILE
scipy.stats._morestats|DEAD|NO_FILE
.._hypotests|DEAD|NO_FILE
scipy.stats._binomtest|DEAD|NO_FILE
scipy.stats._multicomp|DEAD|NO_FILE
scipy.stats._multivariate|DEAD|NO_FILE
.data._mvt|DEAD|NO_FILE
scipy.stats._rcont|DEAD|NO_FILE
.._discrete_distns|DEAD|NO_FILE
scipy.stats._odds_ratio|DEAD|NO_FILE
.data.fisher_exact_results_from_r|DEAD|NO_FILE
scipy.stats._sobol|DEAD|NO_FILE
scipy.stats._quantile|DEAD|NO_FILE
scipy.fft.tests.test_fftlog|DEAD|NO_FILE
scipy.stats._sensitivity_analysis|DEAD|NO_FILE
scipy.stats._mstats_basic|DEAD|NO_FILE
scipy.stats._tukeylambda_stats|DEAD|NO_FILE
coloredlogs|DEAD|NO_FILE
torch.multiprocessing|DEAD|NO_FILE
tqdm.autonotebook|DEAD|NO_FILE
transformers.dynamic_module_utils|DEAD|NO_FILE
sentence_transformers.model_card|DEAD|NO_FILE
sentence_transformers.models|DEAD|NO_FILE
sentence_transformers.models.Module|DEAD|NO_FILE
sentence_transformers.similarity_functions|DEAD|NO_FILE
.evaluation|DEAD|NO_FILE
.fit_mixin|DEAD|NO_FILE
.peft_mixin|DEAD|NO_FILE
.quantization|DEAD|NO_FILE
optimum.habana.transformers.modeling_utils|DEAD|NO_FILE
habana_frameworks.torch|DEAD|NO_FILE
sentence_transformers.backend|DEAD|NO_FILE
sentence_transformers.cross_encoder|DEAD|NO_FILE
sentence_transformers.datasets|DEAD|NO_FILE
sentence_transformers.LoggingHandler|DEAD|NO_FILE
sentence_transformers.quantization|DEAD|NO_FILE
sentence_transformers.readers|DEAD|NO_FILE
sentence_transformers.sampler|DEAD|NO_FILE
sentence_transformers.SentenceTransformer|DEAD|NO_FILE
sentence_transformers.sparse_encoder|DEAD|NO_FILE
sentence_transformers.trainer|DEAD|NO_FILE
sentence_transformers.training_args|DEAD|NO_FILE
sentence_transformers.util|DEAD|NO_FILE
.optimize|DEAD|NO_FILE
.quantize|DEAD|NO_FILE
transformers.configuration_utils|DEAD|NO_FILE
sentence_transformers.backend.utils|DEAD|NO_FILE
onnxruntime|DEAD|NO_FILE
optimum.onnxruntime|DEAD|NO_FILE
optimum.intel.openvino|DEAD|NO_FILE
optimum.onnxruntime.configuration|DEAD|NO_FILE
optimum.intel|DEAD|NO_FILE
optimum.intel.openvino.modeling|DEAD|NO_FILE
transformers.utils|DEAD|NO_FILE
sentence_transformers.cross_encoder.fit_mixin|DEAD|NO_FILE
sentence_transformers.cross_encoder.model_card|DEAD|NO_FILE
sentence_transformers.cross_encoder.util|DEAD|NO_FILE
.CrossEncoder|DEAD|NO_FILE
.model_card|DEAD|NO_FILE
.trainer|DEAD|NO_FILE
.training_args|DEAD|NO_FILE
sentence_transformers.data_collator|DEAD|NO_FILE
.classification|DEAD|NO_FILE
.correlation|DEAD|NO_FILE
.nano_beir|DEAD|NO_FILE
.reranking|DEAD|NO_FILE
sentence_transformers.evaluation|DEAD|NO_FILE
sentence_transformers.evaluation.SentenceEvaluator|DEAD|NO_FILE
sentence_transformers.cross_encoder.CrossEncoder|DEAD|NO_FILE
sentence_transformers.cross_encoder.evaluation|DEAD|NO_FILE
datasets|DEAD|NO_FILE
sentence_transformers.cross_encoder.evaluation.classification|DEAD|NO_FILE
sentence_transformers.cross_encoder.evaluation.correlation|DEAD|NO_FILE
sentence_transformers.cross_encoder.evaluation.reranking|DEAD|NO_FILE
torch.optim|DEAD|NO_FILE
transformers.tokenization_utils_base|DEAD|NO_FILE
sentence_transformers.cross_encoder.training_args|DEAD|NO_FILE
sentence_transformers.datasets.NoDuplicatesDataLoader|DEAD|NO_FILE
sentence_transformers.datasets.SentenceLabelDataset|DEAD|NO_FILE
sentence_transformers.readers.InputExample|DEAD|NO_FILE
sentence_transformers.cross_encoder.losses.BinaryCrossEntropyLoss|DEAD|NO_FILE
sentence_transformers.cross_encoder.losses.CrossEntropyLoss|DEAD|NO_FILE
sentence_transformers.cross_encoder.trainer|DEAD|NO_FILE
torch.utils.checkpoint|DEAD|NO_FILE
sentence_transformers.cross_encoder.losses.MultipleNegativesRankingLoss|DEAD|NO_FILE
sentence_transformers.cross_encoder.losses.PListMLELoss|DEAD|NO_FILE
sentence_transformers.cross_encoder.losses|DEAD|NO_FILE
.BinaryCrossEntropyLoss|DEAD|NO_FILE
.CachedMultipleNegativesRankingLoss|DEAD|NO_FILE
.CrossEntropyLoss|DEAD|NO_FILE
.LambdaLoss|DEAD|NO_FILE
.ListMLELoss|DEAD|NO_FILE
.ListNetLoss|DEAD|NO_FILE
.MarginMSELoss|DEAD|NO_FILE
.MSELoss|DEAD|NO_FILE
.MultipleNegativesRankingLoss|DEAD|NO_FILE
.PListMLELoss|DEAD|NO_FILE
.RankNetLoss|DEAD|NO_FILE
transformers.data.data_collator|DEAD|NO_FILE
transformers.integrations|DEAD|NO_FILE
sentence_transformers.cross_encoder.data_collator|DEAD|NO_FILE
transformers.utils.import_utils|DEAD|NO_FILE
nltk.tokenize.treebank|DEAD|NO_FILE
.DenoisingAutoEncoderDataset|DEAD|NO_FILE
.NoDuplicatesDataLoader|DEAD|NO_FILE
.ParallelSentencesDataset|DEAD|NO_FILE
.SentenceLabelDataset|DEAD|NO_FILE
.SentencesDataset|DEAD|NO_FILE
sentence_transformers.evaluation.InformationRetrievalEvaluator|DEAD|NO_FILE
.BinaryClassificationEvaluator|DEAD|NO_FILE
.EmbeddingSimilarityEvaluator|DEAD|NO_FILE
.InformationRetrievalEvaluator|DEAD|NO_FILE
.LabelAccuracyEvaluator|DEAD|NO_FILE
.MSEEvaluator|DEAD|NO_FILE
.MSEEvaluatorFromDataFrame|DEAD|NO_FILE
.NanoBEIREvaluator|DEAD|NO_FILE
.ParaphraseMiningEvaluator|DEAD|NO_FILE
.RerankingEvaluator|DEAD|NO_FILE
.SentenceEvaluator|DEAD|NO_FILE
.SequentialEvaluator|DEAD|NO_FILE
.SimilarityFunction|DEAD|NO_FILE
.TranslationEvaluator|DEAD|NO_FILE
.TripletEvaluator|DEAD|NO_FILE
torch.optim.lr_scheduler|DEAD|NO_FILE
.model_card_templates|DEAD|NO_FILE
torch.cuda.amp|DEAD|NO_FILE
torch.nn|DEAD|NO_FILE
sentence_transformers.losses.CachedGISTEmbedLoss|DEAD|NO_FILE
sentence_transformers.losses.CachedMultipleNegativesRankingLoss|DEAD|NO_FILE
sentence_transformers.losses.CachedMultipleNegativesSymmetricRankingLoss|DEAD|NO_FILE
.BatchHardTripletLoss|DEAD|NO_FILE
sentence_transformers.losses|DEAD|NO_FILE
.AdaptiveLayerLoss|DEAD|NO_FILE
.MatryoshkaLoss|DEAD|NO_FILE
.ContrastiveLoss|DEAD|NO_FILE
.CoSENTLoss|DEAD|NO_FILE
.AnglELoss|DEAD|NO_FILE
.BatchAllTripletLoss|DEAD|NO_FILE
.BatchHardSoftMarginTripletLoss|DEAD|NO_FILE
.BatchSemiHardTripletLoss|DEAD|NO_FILE
.CachedGISTEmbedLoss|DEAD|NO_FILE
.CachedMultipleNegativesSymmetricRankingLoss|DEAD|NO_FILE
.ContrastiveTensionLoss|DEAD|NO_FILE
.CosineSimilarityLoss|DEAD|NO_FILE
.DenoisingAutoEncoderLoss|DEAD|NO_FILE
.DistillKLDivLoss|DEAD|NO_FILE
.GISTEmbedLoss|DEAD|NO_FILE
.Matryoshka2dLoss|DEAD|NO_FILE
.MegaBatchMarginLoss|DEAD|NO_FILE
.MultipleNegativesSymmetricRankingLoss|DEAD|NO_FILE
.OnlineContrastiveLoss|DEAD|NO_FILE
.SoftmaxLoss|DEAD|NO_FILE
.TripletLoss|DEAD|NO_FILE
transformers.modelcard|DEAD|NO_FILE
transformers.trainer_callback|DEAD|NO_FILE
accelerate|DEAD|NO_FILE
tokenizers|DEAD|NO_FILE
sentence_transformers.models.InputModule|DEAD|NO_FILE
.tokenizer|DEAD|NO_FILE
sentence_transformers.models.Router|DEAD|NO_FILE
sentence_transformers.sparse_encoder.models|DEAD|NO_FILE
model2vec.distill|DEAD|NO_FILE
model2vec|DEAD|NO_FILE
transformers.utils.peft_utils|DEAD|NO_FILE
peft|DEAD|NO_FILE
.BoW|DEAD|NO_FILE
.CLIPModel|DEAD|NO_FILE
.CNN|DEAD|NO_FILE
.Dense|DEAD|NO_FILE
.Dropout|DEAD|NO_FILE
.InputModule|DEAD|NO_FILE
.LayerNorm|DEAD|NO_FILE
.LSTM|DEAD|NO_FILE
.Module|DEAD|NO_FILE
.Normalize|DEAD|NO_FILE
.Pooling|DEAD|NO_FILE
.Router|DEAD|NO_FILE
.StaticEmbedding|DEAD|NO_FILE
.Transformer|DEAD|NO_FILE
.WeightedLayerPooling|DEAD|NO_FILE
.WordEmbeddings|DEAD|NO_FILE
.WordWeights|DEAD|NO_FILE
.WordTokenizer|DEAD|NO_FILE
.PhraseTokenizer|DEAD|NO_FILE
.WhitespaceTokenizer|DEAD|NO_FILE
transformers.integrations.peft|DEAD|NO_FILE
faiss|DEAD|NO_FILE
usearch|DEAD|NO_FILE
usearch.compiled|DEAD|NO_FILE
usearch.index|DEAD|NO_FILE
.InputExample|DEAD|NO_FILE
.LabelSentenceReader|DEAD|NO_FILE
.NLIDataReader|DEAD|NO_FILE
.STSDataReader|DEAD|NO_FILE
.TripletReader|DEAD|NO_FILE
transformers.modeling_utils|DEAD|NO_FILE
sentence_transformers.sparse_encoder.model_card|DEAD|NO_FILE
.SparseEncoder|DEAD|NO_FILE
.splade_callbacks|DEAD|NO_FILE
sentence_transformers.sparse_encoder.losses.SpladeLoss|DEAD|NO_FILE
sentence_transformers.sparse_encoder.training_args|DEAD|NO_FILE
sentence_transformers.sparse_encoder.SparseEncoder|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation|DEAD|NO_FILE
sentence_transformers.evaluation.NanoBEIREvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseInformationRetrievalEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.ReciprocalRankFusionEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseBinaryClassificationEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseEmbeddingSimilarityEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseMSEEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseNanoBEIREvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseRerankingEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseTranslationEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.evaluation.SparseTripletEvaluator|DEAD|NO_FILE
sentence_transformers.sparse_encoder.losses.SparseMultipleNegativesRankingLoss|DEAD|NO_FILE
sentence_transformers.sparse_encoder.losses.SparseCoSENTLoss|DEAD|NO_FILE
sentence_transformers.losses.CoSENTLoss|DEAD|NO_FILE
sentence_transformers.losses.CosineSimilarityLoss|DEAD|NO_FILE
sentence_transformers.losses.DistillKLDivLoss|DEAD|NO_FILE
sentence_transformers.losses.MSELoss|DEAD|NO_FILE
sentence_transformers.losses.MarginMSELoss|DEAD|NO_FILE
sentence_transformers.losses.MultipleNegativesRankingLoss|DEAD|NO_FILE
sentence_transformers.losses.TripletLoss|DEAD|NO_FILE
sentence_transformers.sparse_encoder.losses|DEAD|NO_FILE
.CSRLoss|DEAD|NO_FILE
.FlopsLoss|DEAD|NO_FILE
.SparseAnglELoss|DEAD|NO_FILE
.SparseCoSENTLoss|DEAD|NO_FILE
.SparseCosineSimilarityLoss|DEAD|NO_FILE
.SparseDistillKLDivLoss|DEAD|NO_FILE
.SparseMarginMSELoss|DEAD|NO_FILE
.SparseMSELoss|DEAD|NO_FILE
.SparseMultipleNegativesRankingLoss|DEAD|NO_FILE
