# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

sympy.tensor.array.ndim_array|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.evalf|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.specialpolys|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.units|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.simplify.cse_opts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.multidimensional|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.domains.realfield|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.domains.groundtypes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.tests.test_relational|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.operations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.tests.test_evalf|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.decorators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.rules|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.mechanics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.geometry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.simplify.traversaltools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.crypto.crypto|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.modular|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.domains|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.diffgeom|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.solvers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.diffgeom.rn|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.convolutions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.discrete.transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.discrete.convolutions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.discrete.recurrences|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.discrete|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pythonmpq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.external.pythonmpq|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.utilities.autowrap|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.utilities.codegen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.external.ntheory|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.functions.special.bsplines|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.partitions_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.appellseqs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.utilities.enumerative|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.utilities.memoization|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.pretty.stringpict|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.calculus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.series.series|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.functions.elementary._trigonometric_special|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.orthopolys|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.geometry.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.geometry.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.line|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.point|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.polygon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.sets.handlers.intersection|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.sets.handlers.union|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.plane|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ellipse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.holonomic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.recurrence|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.rings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.fields|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.holonomicerrors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.holonomic.numerical|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.meijerint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.holonomic.holonomic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.holonomic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.holonomic.recurrence|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.domains.integerring|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.domains.rationalfield|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.singularityfunctions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.trigonometry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.monomials|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.solvers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.constructor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.rationaltools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.manualintegrate|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.simplify.fu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.heurisch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.deltafunctions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.meijerint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trigonometry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.plotting.plot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.linsolve|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.strategies.core|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.utilities.timeutils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.rde|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.polymatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.prde|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.heurisch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.deltafunctions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.vector|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.intpoly|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.prde|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.quadrature|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.rationaltools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.integrals.singularityfunctions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.session|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.preview|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.lib.latextools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.iplib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.terminal.interactiveshell|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.interactive.printing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.terminal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.frontend.terminal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
IPython.Shell|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cartan_type|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.liealgebras.cartan_matrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.liealgebras.dynkin_diagram|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.core.backend|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.boolalg|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.inference|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pysat.solvers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pycosat|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.smtlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.assumptions.relation.equality|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.algorithms.dpll|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.algorithms.dpll2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.algorithms.pycosat_wrapper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.algorithms.minisat22_wrapper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.algorithms.z3_wrapper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.utilities.dimacs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.logic.tests.test_lra_theory|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dimacs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dense|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.matrixbase|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.sparse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.sparsetools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.immutable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.expressions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.determinant|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.decompositions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.repmatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.domainmatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.ddm|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.eigen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.slice|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.blockmatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.companion|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.funcmatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.inverse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.matadd|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.matexpr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.matmul|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.matpow|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.trace|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.transpose|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.adjoint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.hadamard|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.diagonal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dotproduct|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.kronecker|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.permutation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.special|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.strategies|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.strategies.traverse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.strategies.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.expressions._shape|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.tensor.array.expressions.from_indexed_to_array|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.tensor.array.expressions.from_array_to_matrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.applyfunc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.tensor.array.expressions.from_matrix_to_array|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.tensor.array.expressions.arrayexpr_derivatives|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...tensor.array.expressions.array_expressions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
mpmath.matrices.matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.repmatrix|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.sparse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.reductions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.subspaces|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.matrices.normalforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.common|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.testing.matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.eigen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.determinant|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.utilities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.algebras|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.matrices.sparsetools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.multipledispatch.conflict|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.generate|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primetest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.factor_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.partitions_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.residue_ntheory|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.multinomial|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.continued_fraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.digits|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.egyptian_fraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ecm|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.qs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.polys.galoistools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.modular|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.bbp_pi|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.continued_fraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.ecm|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.egyptian_fraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.elliptic_curve|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.ntheory.qs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.sympy_parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pydy.system|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
antlr4|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
typing.io|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.autolevparser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
autolevparser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
antlr4.error.Errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._listener_autolev_antlr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.latex.lark|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.latex_parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.transformer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.latex.lark.transformer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.latex.errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
lark|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.fortran.fortran_parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.c.c_parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.ast_parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.autolev|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.sym_expr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.latex._build_latex_antlr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.latex|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.test_latex|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.mathematica|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.parsing.maxima|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.activation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.curve|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.musculotendon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.biomechanics._mixin|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.precedence|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.biomechanics.activation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.biomechanics.curve|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.mechanics.actuator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.vector.functions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.cxx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.lambdarepr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.printing.octave|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.biomechanics.musculotendon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.mechanics.pathway|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.vector.frame|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.vector.point|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.beam|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.truss|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.arch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.plotting|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.solvers.ode.ode|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.continuum_mechanics.arch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.continuum_mechanics.beam|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.continuum_mechanics.cable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.continuum_mechanics.truss|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.lti|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.control_plots|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.plotting.series|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.solvers.ode.systems|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.control.control_plots|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy.physics.hep.gamma_matrices|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.kane|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.rigidbody|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.inertia|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.loads|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.particle|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.lagrange|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.linearize|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.body|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.system|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.jointsmethod|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.joint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.wrapping_geometry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
